2026-04-10 17:09:58.194 +09:00 | INF | TraceId:  | Executed DbCommand (33ms) [Parameters=[], CommandType='"Text"', CommandTimeout='30']
SELECT 1 | Ex:  | Source: Microsoft.EntityFrameworkCore.Database.Command
2026-04-10 17:09:58.381 +09:00 | INF | TraceId:  | Executed DbCommand (50ms) [Parameters=[], CommandType='"Text"', CommandTimeout='30']
SELECT OBJECT_ID(N'[__EFMigrationsHistory]'); | Ex:  | Source: Microsoft.EntityFrameworkCore.Database.Command
2026-04-10 17:09:58.396 +09:00 | INF | TraceId:  | Executed DbCommand (9ms) [Parameters=[], CommandType='"Text"', CommandTimeout='30']
SELECT 1 | Ex:  | Source: Microsoft.EntityFrameworkCore.Database.Command
2026-04-10 17:09:58.400 +09:00 | INF | TraceId:  | Executed DbCommand (2ms) [Parameters=[], CommandType='"Text"', CommandTimeout='30']
SELECT OBJECT_ID(N'[__EFMigrationsHistory]'); | Ex:  | Source: Microsoft.EntityFrameworkCore.Database.Command
2026-04-10 17:09:58.442 +09:00 | INF | TraceId:  | Executed DbCommand (5ms) [Parameters=[], CommandType='"Text"', CommandTimeout='30']
SELECT [MigrationId], [ProductVersion]
FROM [__EFMigrationsHistory]
ORDER BY [MigrationId]; | Ex:  | Source: Microsoft.EntityFrameworkCore.Database.Command
2026-04-10 17:09:58.483 +09:00 | INF | TraceId:  | No migrations were applied. The database is already up to date. | Ex:  | Source: Microsoft.EntityFrameworkCore.Migrations
2026-04-10 17:10:00.706 +09:00 | INF | TraceId: 336f62cdb68cbf3bba928985a82842de | Executed handler method OnGet, returned result . | Ex:  | Source: Microsoft.AspNetCore.Mvc.RazorPages.Infrastructure.PageActionInvoker
2026-04-10 17:10:00.714 +09:00 | INF | TraceId: 336f62cdb68cbf3bba928985a82842de | Executing an implicit handler method - ModelState is "Valid" | Ex:  | Source: Microsoft.AspNetCore.Mvc.RazorPages.Infrastructure.PageActionInvoker
2026-04-10 17:10:00.715 +09:00 | INF | TraceId: 336f62cdb68cbf3bba928985a82842de | Executed an implicit handler method, returned result Microsoft.AspNetCore.Mvc.RazorPages.PageResult. | Ex:  | Source: Microsoft.AspNetCore.Mvc.RazorPages.Infrastructure.PageActionInvoker
2026-04-10 17:10:01.219 +09:00 | INF | TraceId: 336f62cdb68cbf3bba928985a82842de | Executed page /Index in 542.9251ms | Ex:  | Source: Microsoft.AspNetCore.Mvc.RazorPages.Infrastructure.PageActionInvoker
2026-04-10 17:10:01.224 +09:00 | INF | TraceId: 336f62cdb68cbf3bba928985a82842de | Executed endpoint '/Index' | Ex:  | Source: Microsoft.AspNetCore.Routing.EndpointMiddleware
2026-04-10 17:10:01.229 +09:00 | INF | TraceId: 336f62cdb68cbf3bba928985a82842de | HTTP GET / responded 200 in 712.5690 ms | Ex:  | Source: Serilog.AspNetCore.RequestLoggingMiddleware
2026-04-10 17:10:01.238 +09:00 | INF | TraceId: 4b83ebe647ec88e56fa90efd4d90a0a0 | Request starting HTTP/2 GET https://localhost:7053/_vs/browserLink - null null | Ex:  | Source: Microsoft.AspNetCore.Hosting.Diagnostics
2026-04-10 17:10:01.238 +09:00 | INF | TraceId: fc21258acbd83bcad59044b4e95239bd | Request starting HTTP/2 GET https://localhost:7053/_framework/aspnetcore-browser-refresh.js - null null | Ex:  | Source: Microsoft.AspNetCore.Hosting.Diagnostics
2026-04-10 17:10:01.246 +09:00 | INF | TraceId: 336f62cdb68cbf3bba928985a82842de | Request finished HTTP/2 GET https://localhost:7053/ - 200 null text/html; charset=utf-8 940.598ms | Ex:  | Source: Microsoft.AspNetCore.Hosting.Diagnostics
2026-04-10 17:10:01.251 +09:00 | INF | TraceId: fc21258acbd83bcad59044b4e95239bd | Request finished HTTP/2 GET https://localhost:7053/_framework/aspnetcore-browser-refresh.js - 200 16515 application/javascript; charset=utf-8 12.5872ms | Ex:  | Source: Microsoft.AspNetCore.Hosting.Diagnostics
2026-04-10 17:10:01.333 +09:00 | INF | TraceId: 4b83ebe647ec88e56fa90efd4d90a0a0 | Request finished HTTP/2 GET https://localhost:7053/_vs/browserLink - 200 null text/javascript; charset=UTF-8 95.2255ms | Ex:  | Source: Microsoft.AspNetCore.Hosting.Diagnostics
2026-04-10 17:10:01.754 +09:00 | INF | TraceId: beab5fe688b99bb9b6dda74083ad4ff0 | Request starting HTTP/2 POST https://localhost:7053/api/IssuesApi/GetViewerToken - null 0 | Ex:  | Source: Microsoft.AspNetCore.Hosting.Diagnostics
2026-04-10 17:10:01.767 +09:00 | INF | TraceId: beab5fe688b99bb9b6dda74083ad4ff0 | Executing endpoint 'IssueManagement.Controllers.IssuesApiController.GetViewerToken (IssueManagement)' | Ex:  | Source: Microsoft.AspNetCore.Routing.EndpointMiddleware
2026-04-10 17:10:01.829 +09:00 | INF | TraceId: beab5fe688b99bb9b6dda74083ad4ff0 | Route matched with {action = "GetViewerToken", controller = "IssuesApi", page = ""}. Executing controller action with signature System.Threading.Tasks.Task`1[Microsoft.AspNetCore.Mvc.IActionResult] GetViewerToken(System.Threading.CancellationToken) on controller IssueManagement.Controllers.IssuesApiController (IssueManagement). | Ex:  | Source: Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker
2026-04-10 17:10:01.851 +09:00 | INF | TraceId: beab5fe688b99bb9b6dda74083ad4ff0 | Executing action method IssueManagement.Controllers.IssuesApiController.GetViewerToken (IssueManagement) - Validation state: "Valid" | Ex:  | Source: Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker
2026-04-10 17:10:01.898 +09:00 | INF | TraceId: beab5fe688b99bb9b6dda74083ad4ff0 | Requesting APS access token from https://developer.api.autodesk.com/authentication/v2/token with client_id U4kXR3o9HEREsY9rdh0HfFZFry6FlvCkbFmDdLNXQyY8uxND | Ex:  | Source: IssueManagement.Infrastructure.Authorization.ApsAuthService
2026-04-10 17:10:02.031 +09:00 | INF | TraceId: beab5fe688b99bb9b6dda74083ad4ff0 | Created HTTP client for APS token request. | Ex:  | Source: IssueManagement.Infrastructure.Authorization.ApsAuthService
2026-04-10 17:10:02.037 +09:00 | INF | TraceId: beab5fe688b99bb9b6dda74083ad4ff0 | Start processing HTTP request POST https://developer.api.autodesk.com/authentication/v2/token | Ex:  | Source: System.Net.Http.HttpClient.APSTokenEndPointClient.LogicalHandler
2026-04-10 17:10:02.295 +09:00 | INF | TraceId: beab5fe688b99bb9b6dda74083ad4ff0 | Sending HTTP request POST https://developer.api.autodesk.com/authentication/v2/token | Ex:  | Source: System.Net.Http.HttpClient.APSTokenEndPointClient.ClientHandler
2026-04-10 17:10:02.305 +09:00 | INF | TraceId: 02fa095096404ee207e9d5040bdeb4be | Request starting HTTP/1.1 GET https://localhost:7053/healthCheck - null null | Ex:  | Source: Microsoft.AspNetCore.Hosting.Diagnostics
2026-04-10 17:10:02.318 +09:00 | INF | TraceId: 02fa095096404ee207e9d5040bdeb4be | Executing endpoint 'Health checks' | Ex:  | Source: Microsoft.AspNetCore.Routing.EndpointMiddleware
2026-04-10 17:10:02.363 +09:00 | INF | TraceId: 02fa095096404ee207e9d5040bdeb4be | Executed endpoint 'Health checks' | Ex:  | Source: Microsoft.AspNetCore.Routing.EndpointMiddleware
2026-04-10 17:10:02.363 +09:00 | INF | TraceId: 02fa095096404ee207e9d5040bdeb4be | HTTP GET /healthCheck responded 200 in 55.4835 ms | Ex:  | Source: Serilog.AspNetCore.RequestLoggingMiddleware
2026-04-10 17:10:02.365 +09:00 | INF | TraceId: 02fa095096404ee207e9d5040bdeb4be | Request finished HTTP/1.1 GET https://localhost:7053/healthCheck - 200 null text/plain 61.1609ms | Ex:  | Source: Microsoft.AspNetCore.Hosting.Diagnostics
2026-04-10 17:10:02.596 +09:00 | INF | TraceId: beab5fe688b99bb9b6dda74083ad4ff0 | Received HTTP response headers after 294.6742ms - 200 | Ex:  | Source: System.Net.Http.HttpClient.APSTokenEndPointClient.ClientHandler
2026-04-10 17:10:02.629 +09:00 | INF | TraceId: beab5fe688b99bb9b6dda74083ad4ff0 | Execution attempt. Source: '-standard//Standard-Retry', Operation Key: 'null', Result: '200', Handled: 'false', Attempt: '0', Execution Time: 321.1171ms | Ex:  | Source: Polly
2026-04-10 17:10:02.644 +09:00 | INF | TraceId: beab5fe688b99bb9b6dda74083ad4ff0 | Execution attempt. Source: '-standard//Standard-Retry', Operation Key: 'null', Result: '200', Handled: 'false', Attempt: '0', Execution Time: 416.4141ms | Ex:  | Source: Polly
2026-04-10 17:10:02.647 +09:00 | INF | TraceId: beab5fe688b99bb9b6dda74083ad4ff0 | End processing HTTP request after 614.0852ms - 200 | Ex:  | Source: System.Net.Http.HttpClient.APSTokenEndPointClient.LogicalHandler
2026-04-10 17:10:02.686 +09:00 | INF | TraceId: beab5fe688b99bb9b6dda74083ad4ff0 | Executed action method IssueManagement.Controllers.IssuesApiController.GetViewerToken (IssueManagement), returned result Microsoft.AspNetCore.Mvc.OkObjectResult in 827.0068ms. | Ex:  | Source: Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker
2026-04-10 17:10:02.697 +09:00 | INF | TraceId: beab5fe688b99bb9b6dda74083ad4ff0 | Executing OkObjectResult, writing value of type '<>f__AnonymousType1`2[[System.String, System.Private.CoreLib, Version=8.0.0.0, Culture=neutral, PublicKeyToken=7cec85d7bea7798e],[System.Int32, System.Private.CoreLib, Version=8.0.0.0, Culture=neutral, PublicKeyToken=7cec85d7bea7798e]]'. | Ex:  | Source: Microsoft.AspNetCore.Mvc.Infrastructure.ObjectResultExecutor
2026-04-10 17:10:02.712 +09:00 | INF | TraceId: beab5fe688b99bb9b6dda74083ad4ff0 | Executed action IssueManagement.Controllers.IssuesApiController.GetViewerToken (IssueManagement) in 881.3996ms | Ex:  | Source: Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker
2026-04-10 17:10:02.712 +09:00 | INF | TraceId: beab5fe688b99bb9b6dda74083ad4ff0 | Executed endpoint 'IssueManagement.Controllers.IssuesApiController.GetViewerToken (IssueManagement)' | Ex:  | Source: Microsoft.AspNetCore.Routing.EndpointMiddleware
2026-04-10 17:10:02.712 +09:00 | INF | TraceId: beab5fe688b99bb9b6dda74083ad4ff0 | HTTP POST /api/IssuesApi/GetViewerToken responded 200 in 956.9742 ms | Ex:  | Source: Serilog.AspNetCore.RequestLoggingMiddleware
2026-04-10 17:10:02.713 +09:00 | INF | TraceId: beab5fe688b99bb9b6dda74083ad4ff0 | Request finished HTTP/2 POST https://localhost:7053/api/IssuesApi/GetViewerToken - 200 null application/json; charset=utf-8 959.69ms | Ex:  | Source: Microsoft.AspNetCore.Hosting.Diagnostics
2026-04-10 17:10:03.186 +09:00 | INF | TraceId: d90cde60b3f8e12244df402f6b5dd6ac | Request starting HTTP/2 GET https://localhost:7053/api/IssuesApi/GetAllIssues - null null | Ex:  | Source: Microsoft.AspNetCore.Hosting.Diagnostics
2026-04-10 17:10:03.194 +09:00 | INF | TraceId: d90cde60b3f8e12244df402f6b5dd6ac | Executing endpoint 'IssueManagement.Controllers.IssuesApiController.GetAllIssues (IssueManagement)' | Ex:  | Source: Microsoft.AspNetCore.Routing.EndpointMiddleware
2026-04-10 17:10:03.209 +09:00 | INF | TraceId: d90cde60b3f8e12244df402f6b5dd6ac | Route matched with {action = "GetAllIssues", controller = "IssuesApi", page = ""}. Executing controller action with signature System.Threading.Tasks.Task`1[Microsoft.AspNetCore.Mvc.IActionResult] GetAllIssues(System.Nullable`1[IssueManagement.Domain.Enums.IssueStatus], System.Nullable`1[IssueManagement.Domain.Enums.IssueType], System.Threading.CancellationToken) on controller IssueManagement.Controllers.IssuesApiController (IssueManagement). | Ex:  | Source: Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker
2026-04-10 17:10:03.214 +09:00 | INF | TraceId: d90cde60b3f8e12244df402f6b5dd6ac | Executing action method IssueManagement.Controllers.IssuesApiController.GetAllIssues (IssueManagement) - Validation state: "Valid" | Ex:  | Source: Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker
2026-04-10 17:10:03.356 +09:00 | INF | TraceId: 4e3f9eb416a7bcb93f3b7270783a6785 | Request starting HTTP/1.1 GET https://localhost:7053/health - null null | Ex:  | Source: Microsoft.AspNetCore.Hosting.Diagnostics
2026-04-10 17:10:03.356 +09:00 | INF | TraceId: 4e3f9eb416a7bcb93f3b7270783a6785 | Executing endpoint 'Health checks' | Ex:  | Source: Microsoft.AspNetCore.Routing.EndpointMiddleware
2026-04-10 17:10:03.359 +09:00 | INF | TraceId: 4e3f9eb416a7bcb93f3b7270783a6785 | Executed endpoint 'Health checks' | Ex:  | Source: Microsoft.AspNetCore.Routing.EndpointMiddleware
2026-04-10 17:10:03.360 +09:00 | INF | TraceId: 4e3f9eb416a7bcb93f3b7270783a6785 | HTTP GET /health responded 200 in 3.5703 ms | Ex:  | Source: Serilog.AspNetCore.RequestLoggingMiddleware
2026-04-10 17:10:03.360 +09:00 | INF | TraceId: 4e3f9eb416a7bcb93f3b7270783a6785 | Request finished HTTP/1.1 GET https://localhost:7053/health - 200 null text/plain 4.5951ms | Ex:  | Source: Microsoft.AspNetCore.Hosting.Diagnostics
2026-04-10 17:10:04.100 +09:00 | WRN | TraceId: d90cde60b3f8e12244df402f6b5dd6ac | Compiling a query which loads related collections for more than one collection navigation, either via 'Include' or through projection, but no 'QuerySplittingBehavior' has been configured. By default, Entity Framework will use 'QuerySplittingBehavior.SingleQuery', which can potentially result in slow query performance. See https://go.microsoft.com/fwlink/?linkid=2134277 for more information. To identify the query that's triggering this warning call 'ConfigureWarnings(w => w.Throw(RelationalEventId.MultipleCollectionIncludeWarning))'. | Ex:  | Source: Microsoft.EntityFrameworkCore.Query
2026-04-10 17:10:04.231 +09:00 | INF | TraceId: d90cde60b3f8e12244df402f6b5dd6ac | Executed DbCommand (4ms) [Parameters=[], CommandType='"Text"', CommandTimeout='30']
SELECT [i].[ID], [i].[CreatedBy], [i].[CreatedOn], [i].[DeletedOn], [i].[Description], [i].[LocationDbId], [i].[LocationType], [i].[LocationWorldX], [i].[LocationWorldY], [i].[LocationWorldZ], [i].[Status], [i].[Title], [i].[Type], [i].[UpdatedBy], [i].[UpdatedOn], [i0].[ID], [i0].[BlobKey], [i0].[ContentType], [i0].[CorrectionStage], [i0].[CreatedBy], [i0].[CreatedOn], [i0].[DeletedOn], [i0].[FileName], [i0].[IssueId], [i0].[UpdatedBy], [i0].[UpdatedOn], [i1].[ID], [i1].[Comment], [i1].[CreatedBy], [i1].[CreatedOn], [i1].[DeletedOn], [i1].[IssueId], [i1].[Status], [i1].[UpdatedBy], [i1].[UpdatedOn]
FROM [Issues] AS [i]
LEFT JOIN [IssuePhotos] AS [i0] ON [i].[ID] = [i0].[IssueId]
LEFT JOIN [IssueStatusHistories] AS [i1] ON [i].[ID] = [i1].[IssueId]
ORDER BY [i].[CreatedOn] DESC, [i].[ID], [i0].[ID] | Ex:  | Source: Microsoft.EntityFrameworkCore.Database.Command
2026-04-10 17:10:04.342 +09:00 | INF | TraceId: d90cde60b3f8e12244df402f6b5dd6ac | Executed action method IssueManagement.Controllers.IssuesApiController.GetAllIssues (IssueManagement), returned result Microsoft.AspNetCore.Mvc.OkObjectResult in 1127.3192ms. | Ex:  | Source: Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker
2026-04-10 17:10:04.343 +09:00 | INF | TraceId: d90cde60b3f8e12244df402f6b5dd6ac | Executing OkObjectResult, writing value of type 'System.Collections.Generic.List`1[[IssueManagement.Application.DTOs.IssueDto, IssueManagement.Application, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]]'. | Ex:  | Source: Microsoft.AspNetCore.Mvc.Infrastructure.ObjectResultExecutor
2026-04-10 17:10:04.448 +09:00 | INF | TraceId: d90cde60b3f8e12244df402f6b5dd6ac | Executed action IssueManagement.Controllers.IssuesApiController.GetAllIssues (IssueManagement) in 1238.4235ms | Ex:  | Source: Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker
2026-04-10 17:10:04.449 +09:00 | INF | TraceId: d90cde60b3f8e12244df402f6b5dd6ac | Executed endpoint 'IssueManagement.Controllers.IssuesApiController.GetAllIssues (IssueManagement)' | Ex:  | Source: Microsoft.AspNetCore.Routing.EndpointMiddleware
2026-04-10 17:10:04.449 +09:00 | INF | TraceId: d90cde60b3f8e12244df402f6b5dd6ac | HTTP GET /api/IssuesApi/GetAllIssues responded 200 in 1262.0461 ms | Ex:  | Source: Serilog.AspNetCore.RequestLoggingMiddleware
2026-04-10 17:10:04.457 +09:00 | INF | TraceId: d90cde60b3f8e12244df402f6b5dd6ac | Request finished HTTP/2 GET https://localhost:7053/api/IssuesApi/GetAllIssues - 200 null application/json; charset=utf-8 1270.8809ms | Ex:  | Source: Microsoft.AspNetCore.Hosting.Diagnostics
2026-04-10 17:10:29.659 +09:00 | INF | TraceId: 28a60a323b26938db71d65c39fd99523 | Request starting HTTP/2 GET https://localhost:7053/ - null null | Ex:  | Source: Microsoft.AspNetCore.Hosting.Diagnostics
2026-04-10 17:10:29.670 +09:00 | INF | TraceId: 28a60a323b26938db71d65c39fd99523 | Executing endpoint '/Index' | Ex:  | Source: Microsoft.AspNetCore.Routing.EndpointMiddleware
2026-04-10 17:10:29.670 +09:00 | INF | TraceId: 28a60a323b26938db71d65c39fd99523 | Route matched with {page = "/Index", action = "", controller = ""}. Executing page /Index | Ex:  | Source: Microsoft.AspNetCore.Mvc.RazorPages.Infrastructure.PageActionInvoker
2026-04-10 17:10:29.671 +09:00 | INF | TraceId: 28a60a323b26938db71d65c39fd99523 | Executing handler method IssueManagement.Pages.IndexModel.OnGet - ModelState is "Valid" | Ex:  | Source: Microsoft.AspNetCore.Mvc.RazorPages.Infrastructure.PageActionInvoker
2026-04-10 17:10:29.672 +09:00 | INF | TraceId: 28a60a323b26938db71d65c39fd99523 | Executed handler method OnGet, returned result . | Ex:  | Source: Microsoft.AspNetCore.Mvc.RazorPages.Infrastructure.PageActionInvoker
2026-04-10 17:10:29.672 +09:00 | INF | TraceId: 28a60a323b26938db71d65c39fd99523 | Executing an implicit handler method - ModelState is "Valid" | Ex:  | Source: Microsoft.AspNetCore.Mvc.RazorPages.Infrastructure.PageActionInvoker
2026-04-10 17:10:29.672 +09:00 | INF | TraceId: 28a60a323b26938db71d65c39fd99523 | Executed an implicit handler method, returned result Microsoft.AspNetCore.Mvc.RazorPages.PageResult. | Ex:  | Source: Microsoft.AspNetCore.Mvc.RazorPages.Infrastructure.PageActionInvoker
2026-04-10 17:10:29.687 +09:00 | INF | TraceId: 28a60a323b26938db71d65c39fd99523 | Executed page /Index in 15.8922ms | Ex:  | Source: Microsoft.AspNetCore.Mvc.RazorPages.Infrastructure.PageActionInvoker
2026-04-10 17:10:29.688 +09:00 | INF | TraceId: 28a60a323b26938db71d65c39fd99523 | Executed endpoint '/Index' | Ex:  | Source: Microsoft.AspNetCore.Routing.EndpointMiddleware
2026-04-10 17:10:29.688 +09:00 | INF | TraceId: 28a60a323b26938db71d65c39fd99523 | HTTP GET / responded 200 in 20.6891 ms | Ex:  | Source: Serilog.AspNetCore.RequestLoggingMiddleware
2026-04-10 17:10:29.689 +09:00 | INF | TraceId: 28a60a323b26938db71d65c39fd99523 | Request finished HTTP/2 GET https://localhost:7053/ - 200 null text/html; charset=utf-8 31.88ms | Ex:  | Source: Microsoft.AspNetCore.Hosting.Diagnostics
2026-04-10 17:10:29.704 +09:00 | INF | TraceId: 8197d8ef1d2edceea250e458c2799622 | Request starting HTTP/2 GET https://localhost:7053/_framework/aspnetcore-browser-refresh.js - null null | Ex:  | Source: Microsoft.AspNetCore.Hosting.Diagnostics
2026-04-10 17:10:29.706 +09:00 | INF | TraceId: 3fe9956e8bd3734489350699badeae52 | Request starting HTTP/2 GET https://localhost:7053/_vs/browserLink - null null | Ex:  | Source: Microsoft.AspNetCore.Hosting.Diagnostics
2026-04-10 17:10:29.707 +09:00 | INF | TraceId: 8197d8ef1d2edceea250e458c2799622 | Request finished HTTP/2 GET https://localhost:7053/_framework/aspnetcore-browser-refresh.js - 200 16515 application/javascript; charset=utf-8 2.8391ms | Ex:  | Source: Microsoft.AspNetCore.Hosting.Diagnostics
2026-04-10 17:10:29.722 +09:00 | INF | TraceId: 3fe9956e8bd3734489350699badeae52 | Request finished HTTP/2 GET https://localhost:7053/_vs/browserLink - 200 null text/javascript; charset=UTF-8 17.2893ms | Ex:  | Source: Microsoft.AspNetCore.Hosting.Diagnostics
2026-04-10 17:10:30.171 +09:00 | INF | TraceId: 87376d0b28a9123d96d66fa3f9e4daca | Request starting HTTP/2 POST https://localhost:7053/api/IssuesApi/GetViewerToken - null 0 | Ex:  | Source: Microsoft.AspNetCore.Hosting.Diagnostics
2026-04-10 17:10:30.173 +09:00 | INF | TraceId: 87376d0b28a9123d96d66fa3f9e4daca | Executing endpoint 'IssueManagement.Controllers.IssuesApiController.GetViewerToken (IssueManagement)' | Ex:  | Source: Microsoft.AspNetCore.Routing.EndpointMiddleware
2026-04-10 17:10:30.173 +09:00 | INF | TraceId: 87376d0b28a9123d96d66fa3f9e4daca | Route matched with {action = "GetViewerToken", controller = "IssuesApi", page = ""}. Executing controller action with signature System.Threading.Tasks.Task`1[Microsoft.AspNetCore.Mvc.IActionResult] GetViewerToken(System.Threading.CancellationToken) on controller IssueManagement.Controllers.IssuesApiController (IssueManagement). | Ex:  | Source: Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker
2026-04-10 17:10:30.175 +09:00 | INF | TraceId: 87376d0b28a9123d96d66fa3f9e4daca | Executing action method IssueManagement.Controllers.IssuesApiController.GetViewerToken (IssueManagement) - Validation state: "Valid" | Ex:  | Source: Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker
2026-04-10 17:10:30.179 +09:00 | INF | TraceId: 87376d0b28a9123d96d66fa3f9e4daca | Requesting APS access token from https://developer.api.autodesk.com/authentication/v2/token with client_id U4kXR3o9HEREsY9rdh0HfFZFry6FlvCkbFmDdLNXQyY8uxND | Ex:  | Source: IssueManagement.Infrastructure.Authorization.ApsAuthService
2026-04-10 17:10:30.179 +09:00 | INF | TraceId: 87376d0b28a9123d96d66fa3f9e4daca | Created HTTP client for APS token request. | Ex:  | Source: IssueManagement.Infrastructure.Authorization.ApsAuthService
2026-04-10 17:10:30.180 +09:00 | INF | TraceId: 87376d0b28a9123d96d66fa3f9e4daca | Start processing HTTP request POST https://developer.api.autodesk.com/authentication/v2/token | Ex:  | Source: System.Net.Http.HttpClient.APSTokenEndPointClient.LogicalHandler
2026-04-10 17:10:30.188 +09:00 | INF | TraceId: 87376d0b28a9123d96d66fa3f9e4daca | Sending HTTP request POST https://developer.api.autodesk.com/authentication/v2/token | Ex:  | Source: System.Net.Http.HttpClient.APSTokenEndPointClient.ClientHandler
2026-04-10 17:10:30.378 +09:00 | INF | TraceId: 87376d0b28a9123d96d66fa3f9e4daca | Received HTTP response headers after 188.8001ms - 200 | Ex:  | Source: System.Net.Http.HttpClient.APSTokenEndPointClient.ClientHandler
2026-04-10 17:10:30.378 +09:00 | INF | TraceId: 87376d0b28a9123d96d66fa3f9e4daca | Execution attempt. Source: '-standard//Standard-Retry', Operation Key: 'null', Result: '200', Handled: 'false', Attempt: '0', Execution Time: 190.9931ms | Ex:  | Source: Polly
2026-04-10 17:10:30.379 +09:00 | INF | TraceId: 87376d0b28a9123d96d66fa3f9e4daca | Execution attempt. Source: '-standard//Standard-Retry', Operation Key: 'null', Result: '200', Handled: 'false', Attempt: '0', Execution Time: 198.3117ms | Ex:  | Source: Polly
2026-04-10 17:10:30.379 +09:00 | INF | TraceId: 87376d0b28a9123d96d66fa3f9e4daca | End processing HTTP request after 199.5435ms - 200 | Ex:  | Source: System.Net.Http.HttpClient.APSTokenEndPointClient.LogicalHandler
2026-04-10 17:10:30.380 +09:00 | INF | TraceId: 87376d0b28a9123d96d66fa3f9e4daca | Executed action method IssueManagement.Controllers.IssuesApiController.GetViewerToken (IssueManagement), returned result Microsoft.AspNetCore.Mvc.OkObjectResult in 204.2855ms. | Ex:  | Source: Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker
